survived,age,fare,pclass,sibsp,parch,family_size,is_alone,sex_male,sex_female,embarked_C,embarked_Q,embarked_S,title_Master,title_Miss,title_Mr,title_Mrs,title_Other
1,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,66.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,28.0,82.1708,1,1,0,2,0,1,0,True,False,False,False,False,True,False,False
0,42.0,52.0,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,25.0,7.2292,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,21.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,18.0,18.0,3,2,0,3,0,0,1,False,False,True,False,True,False,False,False
1,14.0,11.2417,3,1,0,2,0,0,1,True,False,False,False,True,False,False,False
0,40.0,9.475,3,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,27.0,21.0,2,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,25.0,7.8958,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,3.0,41.5792,2,1,2,4,0,0,1,True,False,False,False,True,False,False,False
1,19.0,7.8792,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,15.5,3,1,0,2,0,1,0,False,True,False,False,False,True,False,False
1,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,25.0,21.6792,3,2,0,3,0,1,0,True,False,False,False,False,True,False,False
0,18.0,17.8,3,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,7.0,39.6875,3,4,1,6,0,1,0,False,False,True,True,False,False,False,False
0,21.0,7.8,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,49.0,76.7292,1,1,0,2,0,0,1,True,False,False,False,False,False,True,False
1,29.0,26.0,2,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,65.0,61.9792,1,0,1,2,0,1,0,True,False,False,False,False,True,False,False
1,40.0,35.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.0,10.5,2,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,28.5,7.2292,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,5.0,27.75,2,1,2,4,0,0,1,False,False,True,False,True,False,False,False
0,11.0,46.9,3,5,2,8,0,1,0,False,False,True,True,False,False,False,False
0,22.0,7.2292,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,38.0,80.0,1,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,45.0,83.475,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,4.0,27.9,3,3,2,6,0,1,0,False,False,True,True,False,False,False,False
0,40.0,27.7208,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,25.0,15.2458,3,1,1,3,0,1,0,True,False,False,True,False,False,False,False
1,29.0,10.5,2,0,0,1,1,0,1,False,False,True,False,False,False,True,False
0,19.0,8.1583,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,17.0,7.925,3,4,2,7,0,0,1,False,False,True,False,True,False,False,False
0,26.0,8.6625,3,2,0,3,0,1,0,False,False,True,False,False,True,False,False
0,32.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,16.0,46.9,3,5,2,8,0,0,1,False,False,True,False,True,False,False,False
0,21.0,73.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,26.0,14.4542,3,1,0,2,0,1,0,True,False,False,False,False,True,False,False
1,32.0,56.4958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,7.65,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,0.83,29.0,2,0,2,3,0,1,0,False,False,True,True,False,False,False,False
1,30.0,12.475,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,22.0,9.0,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,29.0,9.5,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.5,7.7875,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,28.0,47.1,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,17.0,10.5,2,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,33.0,15.85,3,3,0,4,0,0,1,False,False,True,False,False,False,True,False
0,16.0,34.375,3,1,3,5,0,1,0,False,False,True,False,False,True,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,23.0,263.0,1,3,2,6,0,0,1,False,False,True,False,True,False,False,False
0,24.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,29.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,20.0,7.8542,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,46.0,61.175,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,26.0,20.575,3,1,2,4,0,1,0,False,False,True,False,False,True,False,False
0,59.0,7.25,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,71.0,34.6542,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,23.0,63.3583,1,0,1,2,0,1,0,True,False,False,False,False,True,False,False
1,34.0,23.0,2,0,1,2,0,0,1,False,False,True,False,False,False,True,False
0,34.0,26.0,2,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,28.0,7.8958,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,25.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.0,77.2875,1,0,1,2,0,1,0,False,False,True,False,False,True,False,False
0,33.0,8.6542,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,37.0,7.925,3,2,0,3,0,1,0,False,False,True,False,False,True,False,False
0,28.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.0,7.65,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,25.0,7.775,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,38.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.5,24.15,3,1,0,2,0,0,1,False,True,False,False,True,False,False,False
0,47.0,52.0,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,14.5,14.4542,3,1,0,2,0,0,1,True,False,False,False,True,False,False,False
0,22.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,20.0,9.825,3,1,0,2,0,0,1,False,False,True,False,True,False,False,False
0,17.0,14.4583,3,0,0,1,1,0,1,True,False,False,False,True,False,False,False
0,21.0,7.925,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,70.5,7.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
0,29.0,21.0,2,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,24.0,247.5208,1,0,1,2,0,1,0,True,False,False,False,False,True,False,False
0,2.0,31.275,3,4,2,7,0,0,1,False,False,True,False,True,False,False,False
0,21.0,73.5,2,2,0,3,0,1,0,False,False,True,False,False,True,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,32.5,30.0708,2,1,0,2,0,1,0,True,False,False,False,False,True,False,False
1,32.5,13.0,2,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,54.0,77.2875,1,0,1,2,0,1,0,False,False,True,False,False,True,False,False
1,12.0,11.2417,3,1,0,2,0,1,0,True,False,False,True,False,False,False,False
0,25.0,7.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
1,24.0,7.1417,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.5,22.3583,3,1,1,3,0,0,1,True,False,False,False,True,False,False,False
0,45.0,6.975,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,33.0,7.8958,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,20.0,7.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,47.0,14.5,3,1,0,2,0,0,1,False,False,True,False,False,False,True,False
1,29.0,26.0,2,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,25.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,23.0,15.0458,2,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,19.0,26.2833,1,0,2,3,0,0,1,False,False,True,False,True,False,False,False
0,37.0,53.1,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,16.0,9.2167,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,24.0,79.2,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,21.5,15.2458,3,0,2,3,0,0,1,True,False,False,False,False,False,True,False
1,22.0,7.75,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,24.0,15.85,3,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,19.0,6.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
0,18.0,11.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,19.0,36.75,2,1,1,3,0,1,0,False,False,True,False,False,True,False,False
1,27.0,7.7958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,9.0,34.375,3,2,2,5,0,0,1,False,False,True,False,True,False,False,False
0,36.5,26.0,2,0,2,3,0,1,0,False,False,True,False,False,True,False,False
0,42.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,False,False,True
0,51.0,12.525,2,0,0,1,1,1,0,False,False,True,False,False,False,False,True
1,22.0,66.6,1,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,55.5,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,40.5,14.5,3,0,2,3,0,1,0,False,False,True,False,False,True,False,False
0,25.0,7.3125,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,51.0,61.3792,1,0,1,2,0,1,0,True,False,False,False,False,True,False,False
1,16.0,7.7333,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,30.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,8.6625,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,69.55,3,8,2,11,0,1,0,False,False,True,True,False,False,False,False
0,44.0,16.1,3,0,1,2,0,1,0,False,False,True,False,False,True,False,False
1,40.0,15.75,2,0,0,1,1,0,1,False,False,True,False,False,False,True,False
0,26.0,7.775,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,17.0,8.6625,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,1.0,39.6875,3,4,1,6,0,1,0,False,False,True,True,False,False,False,False
1,9.0,20.525,3,0,2,3,0,1,0,False,False,True,True,False,False,False,False
1,35.0,55.0,1,0,1,2,0,0,1,False,False,True,False,False,False,True,False
0,45.0,27.9,3,1,4,6,0,0,1,False,False,True,False,False,False,True,False
0,40.0,25.925,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,28.0,56.4958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,61.0,33.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,4.0,29.125,3,4,1,6,0,1,0,False,True,False,True,False,False,False,False
1,1.0,11.1333,3,1,1,3,0,0,1,False,False,True,False,True,False,False,False
0,21.0,7.925,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,56.0,30.6958,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,18.0,7.8542,3,1,1,3,0,1,0,False,False,True,False,False,True,False,False
0,25.0,25.4667,3,3,1,5,0,1,0,False,False,True,True,False,False,False,False
0,50.0,28.7125,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
0,30.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,36.0,0.0,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.5,69.55,3,8,2,11,0,0,1,False,False,True,False,True,False,False,False
0,30.0,15.05,2,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,9.0,31.3875,3,4,2,7,0,1,0,False,False,True,True,False,False,False,False
1,1.0,39.0,2,2,1,4,0,1,0,False,False,True,True,False,False,False,False
1,4.0,22.025,3,0,2,3,0,0,1,False,False,True,False,True,False,False,False
0,40.0,50.0,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,21.5,15.5,3,1,0,2,0,0,1,False,True,False,False,False,False,True,False
1,45.0,26.55,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,40.0,15.5,3,1,1,3,0,1,0,False,True,False,False,False,True,False,False
0,36.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,32.0,13.0,2,0,0,1,1,0,1,False,False,True,False,False,False,True,False
0,19.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,19.0,7.8542,3,1,0,2,0,0,1,False,False,True,False,True,False,False,False
1,3.0,26.0,2,1,1,3,0,1,0,False,False,True,True,False,False,False,False
1,44.0,27.7208,1,0,0,1,1,0,1,True,False,False,False,False,False,True,False
1,58.0,146.5208,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
0,25.0,7.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
0,42.0,8.4042,3,0,1,2,0,1,0,False,False,True,False,False,True,False,False
1,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,24.0,13.0,2,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,28.0,9.5,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,69.55,3,8,2,11,0,1,0,False,False,True,False,False,True,False,False
0,34.0,6.4958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,45.5,7.225,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,18.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,2.0,10.4625,3,0,1,2,0,0,1,False,False,True,False,True,False,False,False
0,32.0,15.85,3,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,26.0,18.7875,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,16.0,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,40.0,31.0,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,24.0,7.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,35.0,21.0,2,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,22.0,7.25,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,30.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,7.75,3,1,0,2,0,1,0,False,True,False,False,False,True,False,False
1,31.0,113.275,1,1,0,2,0,0,1,True,False,False,False,True,False,False,False
1,27.0,7.925,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,42.0,27.0,2,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,32.0,76.2917,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
0,30.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,16.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,27.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,51.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,38.0,90.0,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,22.0,9.35,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,19.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,20.5,7.25,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,18.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.5,25.4667,3,3,1,5,0,0,1,False,False,True,False,True,False,False,False
1,35.0,83.475,1,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,29.0,7.775,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,59.0,13.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,5.0,31.3875,3,4,2,7,0,0,1,False,False,True,False,True,False,False,False
0,24.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.5,7.55,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,44.0,26.0,2,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,8.0,26.25,2,0,2,3,0,0,1,False,False,True,False,True,False,False,False
0,19.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,33.0,12.275,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.5,14.4542,3,1,0,2,0,0,1,True,False,False,False,True,False,False,False
1,21.5,15.5,3,1,0,2,0,0,1,False,True,False,False,True,False,False,False
0,29.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,22.0,7.125,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,30.0,7.225,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,44.0,90.0,1,2,0,3,0,1,0,False,True,False,False,False,False,False,True
0,25.0,7.775,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,24.0,14.5,2,0,2,3,0,0,1,False,False,True,False,False,False,True,False
1,37.0,52.5542,1,1,1,3,0,1,0,False,False,True,False,False,True,False,False
0,54.0,26.0,2,1,0,2,0,1,0,False,False,True,False,False,False,False,True
0,25.0,7.25,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,29.0,10.4625,3,1,1,3,0,0,1,False,False,True,False,False,False,True,False
0,62.0,26.55,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,30.0,16.1,3,1,0,2,0,1,0,False,False,True,False,False,True,False,False
0,41.0,20.2125,3,0,2,3,0,0,1,False,False,True,False,False,False,True,False
1,29.0,15.2458,3,0,2,3,0,0,1,True,False,False,False,False,False,True,False
1,35.0,79.2,1,0,0,1,1,0,1,True,False,False,False,False,False,True,False
1,30.0,86.5,1,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,35.0,512.3292,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
1,50.0,26.0,2,0,1,2,0,0,1,False,False,True,False,False,False,True,False
0,25.0,7.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
1,3.0,31.3875,3,4,2,7,0,1,0,False,False,True,True,False,False,False,False
0,52.0,79.65,1,1,1,3,0,1,0,False,False,True,False,False,True,False,False
0,40.0,0.0,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,36.0,10.5,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,16.0,39.6875,3,4,1,6,0,1,0,False,False,True,False,False,True,False,False
1,25.0,7.775,3,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,58.0,153.4625,1,0,1,2,0,0,1,False,False,True,False,False,False,True,False
1,35.0,135.6333,1,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,40.0,31.0,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,25.0,0.0,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,41.0,19.5,2,0,1,2,0,0,1,False,False,True,False,False,False,True,False
0,37.0,29.7,1,0,1,2,0,1,0,True,False,False,False,False,True,False,False
1,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,63.0,77.9583,1,1,0,2,0,0,1,False,False,True,False,True,False,False,False
0,45.0,7.75,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,30.0,0.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,7.0,29.125,3,4,1,6,0,1,0,False,True,False,True,False,False,False,False
1,35.0,20.25,3,1,1,3,0,0,1,False,False,True,False,False,False,True,False
0,65.0,7.75,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
0,28.0,7.8542,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,16.0,9.5,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,19.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,40.0,26.0,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,33.0,8.6625,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
1,30.0,9.5,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,22.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,42.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,22.0,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,26.0,78.85,1,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,19.0,91.0792,1,1,0,2,0,0,1,True,False,False,False,False,False,True,False
0,36.0,12.875,2,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,24.0,8.85,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,24.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,40.0,27.7208,1,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,23.5,7.2292,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,2.0,151.55,1,1,2,4,0,0,1,False,False,True,False,True,False,False,False
1,40.0,30.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,50.0,247.5208,1,0,1,2,0,0,1,True,False,False,False,False,False,True,False
1,21.5,7.75,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,25.0,23.25,3,2,0,3,0,1,0,False,True,False,False,False,True,False,False
0,19.0,0.0,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,28.0,12.35,2,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,25.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,0.92,151.55,1,1,2,4,0,1,0,False,False,True,True,False,False,False,False
1,35.0,110.8833,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
1,17.0,108.9,1,1,0,2,0,0,1,True,False,False,False,False,False,True,False
0,30.0,24.0,2,1,0,2,0,1,0,True,False,False,False,False,True,False,False
1,30.0,56.9292,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
1,24.0,83.1583,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
1,18.0,262.375,1,2,2,5,0,0,1,True,False,False,False,True,False,False,False
0,26.0,26.0,2,1,1,3,0,0,1,False,False,True,False,False,False,True,False
0,28.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,43.0,26.25,2,1,1,3,0,1,0,False,False,True,False,False,True,False,False
1,26.0,7.8542,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,24.0,26.0,2,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,54.0,14.0,2,0,0,1,1,1,0,False,False,True,False,False,False,False,True
1,31.0,164.8667,1,0,2,3,0,0,1,False,False,True,False,True,False,False,False
1,40.0,134.5,1,1,1,3,0,0,1,True,False,False,False,False,False,True,False
0,22.0,7.25,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,27.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,30.0,12.35,2,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,22.0,29.0,2,1,1,3,0,0,1,False,False,True,False,False,False,True,False
0,25.0,69.55,3,8,2,11,0,1,0,False,False,True,False,False,True,False,False
1,36.0,135.6333,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
0,61.0,6.2375,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,36.0,13.0,2,0,0,1,1,0,1,False,False,True,False,False,False,True,False
1,31.0,20.525,3,1,1,3,0,0,1,False,False,True,False,False,False,True,False
1,16.0,57.9792,1,0,1,2,0,0,1,True,False,False,False,True,False,False,False
1,21.5,23.25,3,2,0,3,0,0,1,False,True,False,False,True,False,False,False
0,45.5,28.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,38.0,153.4625,1,0,1,2,0,1,0,False,False,True,False,False,True,False,False
0,16.0,18.0,3,2,0,3,0,1,0,False,False,True,False,False,True,False,False
1,35.0,133.65,1,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,25.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,29.0,66.6,1,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,41.0,134.5,1,0,0,1,1,0,1,True,False,False,False,True,False,False,False
1,45.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,45.0,35.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,2.0,26.0,2,1,1,3,0,1,0,False,False,True,True,False,False,False,False
1,24.0,263.0,1,3,2,6,0,0,1,False,False,True,False,True,False,False,False
